id;usuario;recurso;data_acesso;url_foto;resultado;dist_1;dist_2;onde_achou;acao_bases;tempo_processamento;url_doc;cpf;tempo_antispoof;tempo_verifica;tempo_upload;p_detecta_celular_dtree
12811;adm;cadastro;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/ca_adm/CCXUUR01OZIO.jpg;NULL;NULL;NULL;NULL;NULL;705.6994438;NULL;NULL;NULL;NULL;NULL;NULL
12808;adm;cadastro;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/ca_adm/D227LOF0UUHA.jpg;NULL;NULL;NULL;NULL;NULL;706.4409256;NULL;NULL;NULL;NULL;NULL;NULL
12807;2air_provisorio;verifica;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/verifica/QX8150FI9M1M.jpg;Foto InvÃ¡lida;;;;nada_a_fazer;699.1803646;NULL;NULL;NULL;NULL;NULL;NULL
12806;2air_provisorio;verifica;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/verifica/X52F07AV0R6E.jpg;ANTISPOOF;;;;;701.3058662;NULL;NULL;NULL;NULL;NULL;NULL
12805;2air_provisorio;verifica;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/verifica/9I2I2BCRJVK6.jpg;ANTISPOOF;;;;;708.573103;NULL;NULL;NULL;NULL;NULL;NULL
12804;2air_provisorio;verifica;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/verifica/4F8M4Z5ZVKD9.jpg;ANTISPOOF;;;;;647.1743584;NULL;NULL;NULL;NULL;NULL;NULL
12803;2air_provisorio;verifica;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/verifica/YTIG91L0O3C4.jpg;ANTISPOOF;;;;;726.2561321;NULL;NULL;NULL;NULL;NULL;NULL
12802;adm;cadastro;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/ca_adm/L18BLTOLLO7H.jpg;NULL;NULL;NULL;NULL;NULL;844.2132473;NULL;NULL;NULL;NULL;NULL;NULL
12801;2air_provisorio;verifica;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/verifica/CNHELRGPQWGS.jpg;ANTISPOOF;;;;;730.5204868;NULL;NULL;NULL;NULL;NULL;NULL
12800;2air_provisorio;verifica;segunda-feira, 14 de outubro de 2019;https://s3-sa-east-1.amazonaws.com/machineair-api/verifica/HRUPF9P3N22P.jpg;ANTISPOOF;;;;;725.435257;NULL;NULL;NULL;NULL;NULL;NULL
